Actual,Predicted
1013.1242065429688,957.81726
1008.9979248046875,955.3891
1003.0806884765625,953.80457
1002.2417602539064,952.6215
1023.6211547851562,951.6205
1015.345947265625,951.54126
1012.716064453125,952.079
1014.348388671875,952.87103
1034.140625,953.7599
1037.2239990234375,955.3781
1000.4960327148438,957.78564
986.57568359375,959.3076
986.7570190429689,959.0333
977.5525512695312,957.1136
963.3601074218751,953.7297
955.35693359375,948.92035
958.1229858398438,942.96814
920.057373046875,936.6226
922.5059204101562,929.0646
912.0542602539062,920.7726
919.059814453125,912.04504
931.5745239257811,903.75336
851.2946166992189,896.9326
839.0291748046875,888.7998
867.5046997070312,878.67114
886.4581298828125,868.31354
920.0800170898439,859.54614
929.8514404296876,854.2959
945.2001342773438,852.97485
905.5928344726562,855.4282
897.7938232421875,859.0286
905.2301635742188,862.16064
907.9053955078125,864.5167
903.8018188476562,866.15753
901.0585937500001,867.03723
894.6879272460936,867.1786
861.2926635742189,866.51294
884.5083618164064,863.9542
890.5617065429688,860.6162
883.1933593749999,857.42175
885.3698120117188,854.51013
875.0316162109375,852.0832
886.4127807617188,849.79803
887.8864135742188,848.051
890.5617065429688,846.971
882.7172851562499,846.59283
887.9091186523438,846.4699
904.028564453125,846.59845
919.08251953125,847.52686
910.0365600585939,849.77844
909.4924926757812,852.75214
902.9176025390625,855.92255
895.2320556640625,858.6613
896.2294921874999,860.4401
900.3331298828125,861.27155
903.0310668945312,861.50604
879.5205078125,861.4983
878.160400390625,860.52094
881.4024047851564,858.5698
904.2100219726562,856.08606
908.3588867187501,854.3382
902.3509521484374,853.80927
904.8221435546874,854.16656
900.1971435546875,855.16943
901.1946411132812,856.35144
902.713623046875,857.4979
891.4912109374999,858.5484
867.9807739257812,859.02277
866.5751342773438,857.9755
876.7999877929688,855.4567
860.2724609375,852.3391
887.3876953124999,848.5582
879.1124877929688,845.48486
888.997314453125,843.2155
878.5003662109375,842.0876
899.5849609375001,841.5777
914.298828125,842.2061
931.6652221679688,844.3992
951.93359375,848.4915
929.3526611328125,854.72736
880.1100463867188,861.4987
859.2523193359375,865.9392
850.886474609375,866.66394
835.1976928710938,863.7414
859.3883056640624,857.5934
873.2179565429688,850.3535
875.4171752929688,843.8554
872.537841796875,838.9291
872.2883911132812,835.5991
884.848388671875,833.63434
886.9795532226564,833.20044
895.2092895507812,834.0769
932.11865234375,836.1512
925.7252807617188,840.4273
921.6444091796874,846.247
933.8417358398438,852.60114
944.6107177734375,859.19995
937.5598754882814,865.98804
943.2730102539062,872.3122
910.5352783203125,878.0049
917.4954833984374,881.637
934.5218505859376,883.3553
972.3153686523438,884.23804
945.7669677734375,886.25995
952.9765014648438,888.68274
954.9261474609375,891.363
998.5009765624999,894.1344
986.5984497070312,898.46844
987.8906860351561,903.79596
993.5133056640626,909.5131
993.490478515625,915.2747
989.3642578125,920.68604
969.2547607421875,925.2979
956.2411499023438,928.1825
952.4777221679686,928.839
931.9598999023438,927.47595
910.9888305664062,923.935
944.0438842773438,918.0685
935.1566162109376,911.93024
946.5377807617188,906.1933
928.309814453125,901.7066
902.9856567382812,897.9557
904.4366455078125,893.80444
920.1480712890625,889.2192
908.2681274414062,885.0921
916.7699584960939,881.33264
903.5071411132812,878.3312
899.7436523437501,875.653
908.1547851562501,873.057
909.2883911132812,870.8784
898.7234497070312,869.26184
866.5751342773438,867.7849
875.9385375976561,865.1016
881.6063232421875,861.5405
876.0745849609375,857.7827
862.2902221679689,854.0576
862.0408325195312,850.07385
864.4213256835938,845.9681
863.491943359375,842.08496
878.6817626953126,838.6212
901.716064453125,836.28564
905.6382446289062,836.0347
917.767578125,837.8432
904.3687133789062,841.5942
888.2945556640625,846.07666
869.0463256835938,849.8822
870.6334228515626,851.7812
875.57568359375,851.7948
875.9158325195312,850.5652
873.3992919921875,848.67487
876.5506591796875,846.4718
867.4819946289061,844.3743
878.4324340820312,842.241
888.8839721679688,840.5584
901.3987426757812,839.85535
905.5248413085936,840.5888
900.2423706054688,842.68976
908.018798828125,845.5044
900.3557739257812,848.81494
890.1536254882812,851.97156
893.2822875976564,854.2585
896.0255737304688,855.66425
949.8479003906251,856.435
979.5475463867189,858.8537
983.4470825195312,864.30347
998.1155395507812,872.4145
1001.9243774414064,882.61346
993.2412719726564,893.86176
1009.9727172851564,904.69763
1004.1688232421875,914.8815
986.2130126953126,923.7857
989.8404541015626,930.4301
1007.0098876953125,934.89215
1021.45654296875,938.1795
