Actual,Predicted
109.11099243164062,98.35829
111.71533203125,97.97852
110.8698959350586,97.97415
112.54134368896484,98.282036
113.49370574951172,98.86494
109.8301010131836,99.6639
113.21187591552734,100.44582
109.96615600585938,101.22045
111.83197021484375,101.84121
111.72506713867188,102.32985
113.66860961914062,102.6974
120.888916015625,103.03001
117.68205261230469,103.61886
117.76950073242188,104.37693
117.30305480957031,105.2104
115.66075897216797,106.01541
112.70655822753906,106.66426
114.19339752197266,107.00556
113.5714340209961,107.08653
112.48303985595703,106.95097
111.79309844970703,106.62573
111.80279541015625,106.14782
113.3090591430664,105.581894
108.06144714355469,105.04811
112.065185546875,104.41335
105.78750610351562,103.82232
105.70004272460938,103.11189
107.32292175292969,102.27318
111.70563507080078,101.42156
115.67048645019531,100.79846
115.5390625,100.61892
113.23197937011719,100.87614
112.89127349853516,101.38347
116.31782531738281,101.98631
116.0452651977539,102.70765
116.09394836425781,103.49168
117.1063232421875,104.275475
116.220458984375,105.04117
114.8965835571289,105.7218
115.49038696289062,106.23378
114.22489166259766,106.5815
110.82754516601562,106.739136
112.11250305175781,106.60516
112.94966125488281,106.25461
113.49479675292969,105.803825
115.88949584960938,105.35533
119.46206665039062,105.05316
119.81250762939453,105.06406
119.67621612548828,105.39772
119.00453186035156,105.97251
120.4647216796875,106.65918
121.0780029296875,107.41111
118.54703521728516,108.18818
119.9682388305664,108.84507
119.1603012084961,109.37851
118.54703521728516,109.76009
124.4850845336914,109.9729
124.41694641113281,110.25515
125.28329467773438,110.665436
123.29745483398438,111.215164
124.8257827758789,111.78294
128.37892150878906,112.35237
127.48332214355469,113.022484
128.46652221679688,113.74717
133.0612030029297,114.50472
131.28948974609375,115.4171
130.1700439453125,116.39228
129.16738891601562,117.30214
125.97447967529297,118.036964
127.53196716308594,118.44336
123.23905181884766,118.57318
127.4443588256836,118.33794
128.5443572998047,117.94631
125.55587768554688,117.56223
125.38068389892578,117.15126
127.41520690917969,116.717476
125.48775482177734,116.35849
123.76472473144531,116.03769
124.43640899658203,115.68416
128.52490234375,115.31752
133.23638916015625,115.11267
135.37799072265625,115.28238
139.12583923339844,115.90011
139.35943603515625,117.013565
138.2886199951172,118.49864
133.45059204101562,120.130554
128.45677185058594,121.54845
130.5789337158203,122.42113
131.40634155273438,122.781944
130.38421630859375,122.76328
133.74261474609375,122.456856
133.32823181152344,122.09371
133.47451782226562,121.76937
132.59710693359375,121.53028
131.99264526367188,121.35242
131.73916625976562,121.19854
131.97314453125,121.04586
129.84788513183594,120.899956
127.5568084716797,120.68886
126.45521545410158,120.32467
126.61119079589844,119.781525
122.8382797241211,119.11522
122.70177459716797,118.26102
122.20457458496094,117.26597
117.95399475097656,116.19922
118.21720886230469,114.99
124.58334350585938,113.70268
121.98036193847656,112.66362
118.99710845947266,111.88971
117.11556243896484,111.258
118.3731918334961,110.65104
113.44017791748047,110.09131
118.05148315429688,109.41938
116.9693374633789,108.79845
118.89965057373047,108.26383
117.99298858642578,107.90649
120.87872314453125,107.70582
122.41905975341797,107.737595
121.62940216064453,108.03742
117.50553131103516,108.52266
116.9791030883789,108.95336
120.29376983642578,109.21525
119.465087890625,109.41105
117.07657623291016,109.5538
117.56402587890625,109.567245
118.16848754882812,109.46785
118.34394836425781,109.31068
116.89132690429688,109.14107
119.08489990234375,108.93216
119.9135513305664,108.771454
122.74078369140625,108.7177
123.04298400878906,108.877045
124.69060516357422,109.249
127.0888900756836,109.83507
129.66261291503906,110.65493
127.94677734375001,111.72777
131.0567169189453,112.90004
128.71697998046875,114.16063
131.12498474121094,115.34652
130.7935333251953,116.453094
131.4564208984375,117.43506
129.7698516845703,118.285225
130.15008544921875,118.9299
128.6291961669922,119.37162
130.9495086669922,119.57767
131.33946228027344,119.66138
131.0177459716797,119.69902
130.22808837890625,119.71452
130.13055419921875,119.69098
128.1612548828125,119.626625
129.2141571044922,119.45844
124.6418685913086,119.23013
124.8855972290039,118.810326
126.48446655273436,118.217804
127.15824890136719,117.577354
123.87701416015625,116.99612
122.95903778076172,116.40564
119.89263153076172,115.774445
122.04106140136719,115.0123
124.46295166015625,114.223915
123.31061553955078,113.57437
121.92386627197266,113.0816
121.76763153076172,112.69093
124.32621765136719,112.37196
122.49026489257812,112.205894
124.12113189697266,112.130615
123.92584228515625,112.16911
123.87701416015625,112.297455
122.34380340576172,112.48208
121.68950653076172,112.63532
121.36724090576172,112.701485
122.12895202636719,112.6635
120.64457702636719,112.566444
122.93949890136719,112.38896
122.94926452636719,112.232346
123.76956176757812,112.13613
124.15043640136719,112.13732
123.15435028076172,112.243286
124.36528778076172,112.39398
127.42192077636719,112.596275
126.60157775878908,112.94545
127.09967041015625,113.40126
128.70123291015625,113.92703
127.4023971557617,114.5313
129.1992950439453,115.127396
130.83987426757812,115.72678
130.5664520263672,116.36743
130.28326416015625,117.017845
129.99029541015625,117.62695
131.6211395263672,118.14778
133.1348114013672,118.61909
133.75006103515625,119.10049
134.0527801513672,119.614006
136.6797637939453,120.15041
138.69143676757812,120.77536
141.18173217773438,121.541084
139.88284301757812,122.49658
141.7090301513672,123.53112
141.11334228515625,124.61146
142.22662353515625,125.64624
145.6543731689453,126.60856
145.00003051757812,127.58817
142.95904541015625,128.54716
139.11138916015625,129.36061
142.7246551513672,129.83656
141.99221801757812,130.08801
143.35943603515625,130.16216
145.07818603515625,130.16115
145.4981231689453,130.20024
143.3301239013672,130.3261
141.5821075439453,130.45184
142.22662353515625,130.47589
142.44146728515625,130.404
142.10943603515625,130.2677
143.90631103515625,130.0852
143.50592041015625,129.94688
143.61331176757812,129.86688
142.92872619628906,129.84616
142.8798065185547,129.84807
142.40061950683594,129.85266
142.65484619140625,129.83397
145.6182861328125,129.79767
145.82369995117188,129.86008
147.79931640625,130.0474
146.8897247314453,130.40903
143.14389038085938,130.87724
143.47645568847656,131.2478
144.93368530273438,131.46394
146.4202880859375,131.5802
146.332275390625,131.6868
145.09994506835938,131.81122
144.29794311523438,131.90979
145.33468627929688,131.93854
149.75534057617188,131.9325
148.49371337890625,132.07394
149.1587677001953,132.34467
150.27369689941406,132.72568
150.90943908691406,133.211
153.24691772460938,133.77858
151.70159912109375,134.46486
150.68450927734375,135.17096
145.69656372070312,135.79016
146.2637939453125,136.09122
144.865234375,136.06601
145.75521850585938,135.72733
145.52047729492188,135.19313
142.85047912597656,134.56075
139.7990264892578,133.81506
140.2782440185547,132.89432
142.6450958251953,131.86887
143.60354614257812,130.91505
143.6916046142578,130.15741
142.17564392089844,129.63658
138.7916717529297,129.28491
139.6914520263672,128.93333
138.39071655273438,128.56866
139.51541137695312,128.15544
136.08253479003906,127.75099
138.00926208496094,127.265686
138.87969970703125,126.77721
140.14134216308594,126.36665
139.75991821289062,126.112366
139.67189025878906,126.00802
138.4004669189453,126.02225
137.81365966796875,126.071724
140.60101318359375,126.095436
141.65728759765625,126.17817
143.3297119140625,126.37355
145.49114990234375,126.732216
145.9801483154297,127.303444
146.1953125,128.05473
145.4226837158203,128.913
145.37379455566406,129.764
146.03883361816406,130.52956
145.57919311523438,131.19043
149.21743774414062,131.71596
146.50830078125,132.23532
145.6867218017578,132.67326
146.72348022460938,132.97215
148.1611785888672,133.16447
147.64280700683594,133.32762
148.17169189453125,133.46896
147.3489990234375,133.60933
147.7113494873047,133.7192
144.88072204589844,133.8025
144.831787109375,133.75746
146.90821838378906,133.57442
146.91802978515625,133.36163
147.8974609375,133.17316
150.3363037109375,133.0683
154.62631225585938,133.14516
157.25123596191406,133.55559
157.71160888671875,134.3634
158.0935821533203,135.49104
158.61268615722656,136.80905
153.5880889892578,138.1924
156.94761657714844,139.33643
161.90367126464844,140.25774
161.38455200195312,141.14903
160.3953094482422,142.02782
158.51475524902344,142.83072
161.9232635498047,143.4468
167.66282653808594,143.97368
171.48268127441406,144.65083
170.97337341308594,145.64212
175.76292419433594,146.87796
172.129150390625,148.40477
170.74815368652344,149.97305
175.61599731445312,151.36693
168.7206573486328,152.66232
167.62367248535156,153.59271
166.2622528076172,154.06369
169.43568420410156,154.06552
172.0312042236328,153.80952
172.65805053710938,153.52943
176.6248321533203,153.34853
175.60618591308594,153.44348
175.69435119628906,153.77475
174.5386199951172,154.26736
173.92152404785156,154.79451
178.27032470703125,155.25716
176.00778198242188,155.77214
171.32598876953125,156.26158
168.46600341796875,156.51251
168.6324920654297,156.3852
168.6520538330078,155.9206
171.48268127441406,155.22404
171.9234619140625,154.5165
168.6520538330078,153.92517
169.51397705078125,153.37776
166.3112030029297,152.8961
162.8145751953125,152.37537
161.12986755371094,151.6818
159.07305908203125,150.7726
158.2992401123047,149.64117
156.49703979492188,148.35312
156.408935546875,146.95473
155.94857788085938,145.54422
166.83029174804688,144.20363
171.18887329101562,143.40656
171.0223846435547,143.4016
172.22708129882812,144.10925
169.34747314453125,145.36684
169.06312561035156,146.83827
168.34719848632812,148.2846
171.45599365234375,149.53552
172.87803649902344,150.6323
168.7982940673828,151.62631
165.3854522705078,152.36595
165.62083435058594,152.6963
169.45535278320312,152.64285
169.22003173828125,152.43694
165.62083435058594,152.19156
164.0713653564453,151.83516
161.14883422851562,151.32497
156.98086547851562,150.59094
159.59930419921875,149.53334
161.6686248779297,148.32599
161.93341064453125,147.18777
160.0504608154297,146.24196
163.34564208984375,145.46516
163.02200317382812,144.9692
160.0210418701172,144.74278
156.22572326660156,144.62604
154.401611328125,144.40538
159.80526733398438,143.96902
155.46078491210938,143.53935
